
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
42436,52424.9,-3.94335,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
42434.1,52423.8,-6.31148,um,Dendrite,Dendrite Position,0,1,1,100000001,510000000012,
42430.3,52408.3,-6.57501,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000035,
42435.6,52393.5,-4.53975,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000047,
42434.3,52389.6,-4.1203,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000056,
42432.8,52383.7,-4.13974,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000063,
42437.1,52376.5,-0.241707,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000073,
42439.7,52369.1,-6.51923,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000133,
42423.5,52370.3,-4.97055,um,Dendrite,Dendrite Position,0,1,1,100000008,510000000145,
42421.1,52375.9,-3.21034,um,Dendrite,Dendrite Position,0,1,1,100000009,510000000158,
42479,52386.9,-0.467475,um,Dendrite,Dendrite Position,0,1,1,100000010,510000000165,
42479.4,52407.7,-1.3408,um,Dendrite,Dendrite Position,0,1,1,100000011,510000000182,
42381.7,52484.5,-7.94962,um,Dendrite,Dendrite Position,0,1,1,100000012,510000000194,
42384.6,52481.2,-6.10899,um,Dendrite,Dendrite Position,0,1,1,100000013,510000000284,
42437.6,52447.3,-2.18058,um,Dendrite,Dendrite Position,0,1,1,100000014,510000000328,
42425.2,52457.3,-9.21867,um,Dendrite,Dendrite Position,0,1,1,100000015,510000000340,
42422.8,52462.7,-7.96784,um,Dendrite,Dendrite Position,0,1,1,100000016,510000000352,
42439,52445.6,-0.660009,um,Dendrite,Dendrite Position,0,1,1,100000017,510000000357,
42402.2,52415.5,-2.67015,um,Dendrite,Dendrite Position,0,1,1,100000018,510000000364,
42402.3,52420.4,-3.34176,um,Dendrite,Dendrite Position,0,1,1,100000019,510000000386,
42379.7,52384.3,1.22503,um,Dendrite,Dendrite Position,0,1,1,100000020,510000000403,
42385.4,52386.5,1.14371,um,Dendrite,Dendrite Position,0,1,1,100000021,510000000429,
42383.1,52391.2,-1.84863,um,Dendrite,Dendrite Position,0,1,1,100000022,510000000440,
42385.4,52401.4,-2.61706,um,Dendrite,Dendrite Position,0,1,1,100000023,510000000450,
42387.1,52403.4,-2.48746,um,Dendrite,Dendrite Position,0,1,1,100000024,510000000458,
42386.6,52407.4,-2.55214,um,Dendrite,Dendrite Position,0,1,1,100000025,510000000462,
42389.7,52403.4,-0.887253,um,Dendrite,Dendrite Position,0,1,1,100000026,510000000473,
42389.1,52399.9,0.507417,um,Dendrite,Dendrite Position,0,1,1,100000027,510000000476,
42418.2,52476.7,-6.97813,um,Dendrite,Dendrite Position,0,1,1,100000028,510000000487,
42355.5,52516.7,-5.73303,um,Dendrite,Dendrite Position,0,1,1,100000029,510000000509,
42360.1,52462.7,-2.00014,um,Dendrite,Dendrite Position,0,1,1,100000030,510000000530,
42367.1,52476.6,-6.61879,um,Dendrite,Dendrite Position,0,1,1,100000031,510000000538,
42337.9,52468.7,-8.4452,um,Dendrite,Dendrite Position,0,1,1,100000032,510000000544,
42333,52483.8,-5.7028,um,Dendrite,Dendrite Position,0,1,1,100000033,510000000575,
42323.4,52485.6,-6.23844,um,Dendrite,Dendrite Position,0,1,1,100000034,510000000591,
42320.2,52485.4,-5.46261,um,Dendrite,Dendrite Position,0,1,1,100000035,510000000599,
42319.5,52490.8,-4.87895,um,Dendrite,Dendrite Position,0,1,1,100000036,510000000603,
42315.1,52512.5,-8.23394,um,Dendrite,Dendrite Position,0,1,1,100000037,510000000611,
42315.9,52512.7,-7.99806,um,Dendrite,Dendrite Position,0,1,1,100000037,510000000618,
42316,52508.2,-8.34976,um,Dendrite,Dendrite Position,0,1,1,100000038,510000000632,
42316.8,52517.9,-8.53093,um,Dendrite,Dendrite Position,0,1,1,100000039,510000000636,
42313.8,52521.6,-9.24526,um,Dendrite,Dendrite Position,0,1,1,100000040,510000000641,
42328,52512.1,-6.24424,um,Dendrite,Dendrite Position,0,1,1,100000041,510000000646,
42329,52515.2,-7.27357,um,Dendrite,Dendrite Position,0,1,1,100000042,510000000663,
42327.6,52516.4,-7.1303,um,Dendrite,Dendrite Position,0,1,1,100000043,510000000676,
42354.6,52484.6,-8.46849,um,Dendrite,Dendrite Position,0,1,1,100000044,510000000683,
42344.6,52404.5,0.22948,um,Dendrite,Dendrite Position,0,1,1,100000045,510000000706,
42456.4,52443,-3.97401,um,Dendrite,Dendrite Position,0,1,1,100000046,510000000720,
42456,52442.5,-3.66569,um,Dendrite,Dendrite Position,0,1,1,100000046,510000000729,
42456,52444.5,-5.76397,um,Dendrite,Dendrite Position,0,1,1,100000047,510000000739,
42453.9,52437.2,-1.01864,um,Dendrite,Dendrite Position,0,1,1,100000048,510000000749,
42348,52488.5,-7.30519,um,Dendrite,Dendrite Position,0,1,1,100000049,510000000757,
42372.4,52491.7,-4.30661,um,Dendrite,Dendrite Position,0,1,1,100000050,510000000782,
42375.2,52512.5,-3.33615,um,Dendrite,Dendrite Position,0,1,1,100000051,510000000798,
42373.1,52510,-3.77033,um,Dendrite,Dendrite Position,0,1,1,100000052,510000000807,
42370.9,52515.9,-4.03719,um,Dendrite,Dendrite Position,0,1,1,100000053,510000000814,
42380.3,52495.4,-3.806,um,Dendrite,Dendrite Position,0,1,1,100000054,510000000828,
