
Dendrite Position Reference Frame
 ==================== 
Dendrite Position X Reference Frame,Dendrite Position Y Reference Frame,Dendrite Position Z Reference Frame,Unit,Category,Collection,Depth,Level,ReferenceFrame,Time,FilamentID,ID,
11.3824,156.424,8.67437,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000048,510000000749,
-34.0336,47.908,2.38783,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000049,510000000757,
-38.598,72.0676,5.3864,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000050,510000000782,
-59.4991,73.7865,6.35686,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000051,510000000798,
-56.8933,71.8309,5.92268,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000052,510000000807,
-62.6959,69.3257,5.65582,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000053,510000000814,
-42.7027,79.8099,5.88701,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000054,510000000828,
-34.4545,71.0443,5.33917,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000055,510000000884,
3.73902,82.6519,8.83883,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000056,510000000918,
-7.225,104.712,1.51975,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000057,510000000926,
5.75089,199.26,5.25742,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000058,510000000932,
25.2196,218.843,2.29777,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000059,510000000945,
27.4688,217.114,1.80698,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000060,510000000961,
11.0951,206.975,4.13096,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000062,510000000974,
51.8576,123.915,7.15456,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000063,510000001004,
22.7904,117.872,3.11645,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000064,510000001037,
-4.86236,36.8026,0.41444,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000065,510000001053,
-57.5594,14.5466,1.85303,um,Dendrite,Dendrite Position Reference Frame,1,1,Reference Frame 1,1,100000037,510000000624,
-57.8293,14.1134,1.8199,um,Dendrite,Dendrite Position Reference Frame,1,2,Reference Frame 1,1,100000037,510000000626,
