
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,TrackID,ID,
7.53652,um,Filament,1,,100000000,
4.15233,um,Filament,3,1100000001,100000001,
7.11546,um,Filament,4,1100000001,100000002,
3.48976,um,Filament,5,1100000003,100000003,
4.04155,um,Filament,6,1100000003,100000004,
2.27629,um,Filament,7,1100000003,100000005,
2.98655,um,Filament,8,1100000003,100000006,
2.05152,um,Filament,9,1100000003,100000007,
6.25826,um,Filament,9,1100000008,100000008,
2.33492,um,Filament,10,1100000003,100000009,
7.19382,um,Filament,10,1100000008,100000010,
2.65084,um,Filament,11,1100000003,100000011,
10.6164,um,Filament,11,,100000012,
3.4626,um,Filament,12,1100000003,100000013,
2.02867,um,Filament,13,1100000003,100000014,
7.09448,um,Filament,13,,100000015,
10.1664,um,Filament,13,,100000016,
5.65823,um,Filament,14,1100000003,100000017,
2.12465,um,Filament,15,1100000003,100000018,
2.30453,um,Filament,16,1100000003,100000019,
6.47839,um,Filament,19,1100000020,100000020,
5.00593,um,Filament,20,1100000020,100000021,
6.32297,um,Filament,22,,100000022,
8.09288,um,Filament,44,1100000023,100000023,
7.09037,um,Filament,45,1100000023,100000024,
4.42409,um,Filament,46,1100000023,100000025,
