
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,TrackID,ID,
3.45394,um,Filament,1,1100000000,100000000,
3.6088,um,Filament,1,,100000001,
4.33856,um,Filament,2,1100000000,100000002,
2.68929,um,Filament,2,1100000003,100000003,
5.22044,um,Filament,3,1100000000,100000004,
3.03955,um,Filament,3,1100000003,100000005,
4.59467,um,Filament,4,1100000000,100000006,
3.80086,um,Filament,4,1100000003,100000007,
6.24701,um,Filament,5,1100000000,100000008,
1.75921,um,Filament,5,1100000003,100000009,
5.25272,um,Filament,6,1100000010,100000010,
3.52997,um,Filament,6,1100000000,100000011,
7.62903,um,Filament,7,1100000010,100000012,
5.3898,um,Filament,7,1100000000,100000013,
2.64744,um,Filament,10,1100000014,100000014,
4.0728,um,Filament,10,,100000015,
4.33157,um,Filament,11,1100000016,100000016,
3.95822,um,Filament,11,1100000014,100000017,
7.57567,um,Filament,11,,100000018,
6.43821,um,Filament,12,1100000016,100000019,
3.27879,um,Filament,12,1100000014,100000020,
5.14541,um,Filament,13,1100000016,100000021,
3.90191,um,Filament,13,1100000014,100000022,
3.25577,um,Filament,14,1100000016,100000023,
4.83262,um,Filament,14,1100000014,100000024,
4.20475,um,Filament,15,1100000016,100000025,
5.59084,um,Filament,15,1100000014,100000026,
3.62627,um,Filament,16,1100000016,100000027,
8.61076,um,Filament,16,1100000014,100000028,
4.44824,um,Filament,17,1100000016,100000029,
3.7177,um,Filament,17,1100000014,100000030,
8.00107,um,Filament,18,1100000016,100000031,
3.78326,um,Filament,18,1100000014,100000032,
5.52777,um,Filament,19,1100000016,100000033,
4.8267,um,Filament,19,,100000034,
3.79334,um,Filament,19,1100000035,100000035,
8.24841,um,Filament,20,1100000016,100000036,
4.17342,um,Filament,20,1100000035,100000037,
6.63582,um,Filament,21,1100000016,100000038,
5.90127,um,Filament,21,1100000035,100000039,
4.58949,um,Filament,22,1100000016,100000040,
3.74583,um,Filament,22,,100000041,
4.06051,um,Filament,23,1100000016,100000042,
3.55751,um,Filament,24,1100000016,100000043,
3.23241,um,Filament,25,1100000016,100000044,
3.13773,um,Filament,26,1100000045,100000045,
3.86807,um,Filament,27,1100000045,100000046,
4.10336,um,Filament,28,1100000045,100000047,
4.95823,um,Filament,29,1100000048,100000048,
4.53883,um,Filament,29,1100000045,100000049,
5.34787,um,Filament,30,1100000048,100000050,
2.13422,um,Filament,30,,100000051,
3.41899,um,Filament,30,1100000045,100000052,
3.69794,um,Filament,31,1100000048,100000053,
4.41745,um,Filament,31,1100000045,100000054,
8.26951,um,Filament,32,1100000048,100000055,
3.09824,um,Filament,32,1100000056,100000056,
4.20494,um,Filament,33,,100000057,
5.00964,um,Filament,33,1100000056,100000058,
4.30172,um,Filament,34,1100000056,100000059,
4.62525,um,Filament,35,,100000060,
2.18565,um,Filament,35,1100000056,100000061,
3.13623,um,Filament,36,1100000056,100000062,
3.93287,um,Filament,43,1100000063,100000063,
6.51788,um,Filament,44,,100000064,
3.4638,um,Filament,44,1100000063,100000065,
4.10934,um,Filament,45,1100000063,100000066,
4.48155,um,Filament,46,1100000063,100000067,
3.73464,um,Filament,47,1100000063,100000068,
3.88116,um,Filament,48,1100000063,100000069,
3.82473,um,Filament,49,1100000063,100000070,
5.14061,um,Filament,50,1100000063,100000071,
9.77329,um,Filament,51,1100000063,100000072,
5.94581,um,Filament,52,1100000063,100000073,
10.3879,um,Filament,63,1100000074,100000074,
4.64682,um,Filament,64,1100000074,100000075,
3.84906,um,Filament,65,1100000074,100000076,
4.2803,um,Filament,66,1100000074,100000077,
5.01418,um,Filament,68,1100000078,100000078,
8.28545,um,Filament,68,,100000079,
16.6255,um,Filament,69,1100000078,100000080,
11.6458,um,Filament,69,,100000081,
8.97818,um,Filament,69,,100000082,
3.69476,um,Filament,69,1100000083,100000083,
6.00652,um,Filament,70,,100000084,
4.8116,um,Filament,70,1100000083,100000085,
5.64213,um,Filament,71,,100000086,
4.62229,um,Filament,71,,100000087,
6.40249,um,Filament,71,1100000083,100000088,
7.76781,um,Filament,72,1100000083,100000089,
7.50489,um,Filament,73,1100000090,100000090,
9.0367,um,Filament,73,1100000083,100000091,
5.90072,um,Filament,74,1100000090,100000092,
11.3435,um,Filament,74,1100000083,100000093,
12.4483,um,Filament,75,1100000083,100000094,
9.89816,um,Filament,76,1100000083,100000095,
14.0867,um,Filament,77,1100000083,100000096,
14.2126,um,Filament,78,1100000083,100000097,
14.6633,um,Filament,79,1100000083,100000098,
12.4328,um,Filament,80,1100000083,100000099,
10.0452,um,Filament,81,1100000083,100000100,
9.8294,um,Filament,84,1100000101,100000101,
3.29557,um,Filament,85,1100000101,100000102,
4.45824,um,Filament,85,,100000103,
6.02281,um,Filament,93,1100000104,100000104,
6.44942,um,Filament,94,1100000104,100000105,
4.11372,um,Filament,95,1100000104,100000106,
2.02106,um,Filament,125,1100000107,100000107,
4.17335,um,Filament,126,1100000107,100000108,
2.89919,um,Filament,59,1100000109,100000109,
3.28369,um,Filament,55,1100000109,100000113,
1.80706,um,Filament,56,1100000109,100000114,
2.17583,um,Filament,58,1100000109,100000115,
1.72355,um,Filament,57,1100000109,100000116,
3.4587,um,Filament,60,1100000109,100000117,
3.76889,um,Filament,61,1100000109,100000118,
9.04618,um,Filament,105,1100000119,100000119,
7.97418,um,Filament,106,1100000119,100000120,
7.73698,um,Filament,107,1100000119,100000121,
8.22407,um,Filament,104,1100000119,100000122,
10.8796,um,Filament,103,1100000119,100000123,
11.5696,um,Filament,102,1100000119,100000125,
11.8802,um,Filament,101,1100000119,100000126,
11.7081,um,Filament,100,1100000119,100000127,
9.54726,um,Filament,99,1100000119,100000130,
8.95508,um,Filament,98,1100000119,100000131,
5.63229,um,Filament,97,1100000119,100000132,
