
Dendrite Position Reference Frame
 ==================== 
Dendrite Position X Reference Frame,Dendrite Position Y Reference Frame,Dendrite Position Z Reference Frame,Unit,Category,Collection,Depth,Level,ReferenceFrame,Time,FilamentID,ID,
54.3245,4.3269,2.6439,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000050,510000000991,
94.4505,68.4978,1.34859,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000051,510000001009,
88.7457,62.0985,0.406507,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000052,510000001021,
86.0462,54.3366,2.75433,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000053,510000001037,
82.1165,95.6404,1.1895,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000054,510000001045,
78.0826,103.817,2.30178,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000055,510000001057,
76.4644,104.159,0.502303,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000056,510000001066,
89.629,90.385,4.94889,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000057,510000001075,
58.6054,104.063,2.5532,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000058,510000001088,
55.5743,103.673,2.75499,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000059,510000001106,
64.436,104.407,0.655883,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000060,510000001114,
46.5161,105.379,2.18424,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000061,510000001122,
