
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-2.49497,°,Dendrite,0,1,5,100000000,510000000001,
63.8609,°,Dendrite,0,1,6,100000001,510000000035,
90,°,Dendrite,0,1,7,100000002,510000000040,
-1.55095,°,Dendrite,0,1,8,100000003,510000000046,
1.13785,°,Dendrite,0,1,9,100000004,510000000091,
11.1215,°,Dendrite,0,1,10,100000005,510000000150,
16.9211,°,Dendrite,0,1,11,100000006,510000000211,
97.5238,°,Dendrite,0,1,12,100000007,510000000262,
20.9987,°,Dendrite,0,1,12,100000008,510000000265,
79.2691,°,Dendrite,0,1,13,100000009,510000000298,
46.9653,°,Dendrite,0,1,13,100000010,510000000308,
100.458,°,Dendrite,0,1,14,100000011,510000000315,
-23.1428,°,Dendrite,0,1,14,100000012,510000000325,
-78.7585,°,Dendrite,0,1,14,100000013,510000000330,
84.545,°,Dendrite,0,1,15,100000014,510000000339,
-53.6392,°,Dendrite,0,1,16,100000015,510000000347,
170.134,°,Dendrite,0,1,16,100000016,510000000412,
100.528,°,Dendrite,0,1,16,100000017,510000000430,
-70.5437,°,Dendrite,0,1,16,100000018,510000000439,
122.117,°,Dendrite,0,1,17,100000019,510000000474,
-20.4369,°,Dendrite,0,1,18,100000020,510000000482,
130.191,°,Dendrite,0,1,18,100000021,510000000495,
152.488,°,Dendrite,0,1,19,100000022,510000000525,
-47.8341,°,Dendrite,0,1,19,100000023,510000000557,
132.274,°,Dendrite,0,1,20,100000024,510000000570,
-97.6577,°,Dendrite,0,1,20,100000025,510000000578,
-165.393,°,Dendrite,0,1,21,100000026,510000000588,
131.44,°,Dendrite,0,1,21,100000027,510000000595,
29.9987,°,Dendrite,0,1,22,100000028,510000000603,
-160.661,°,Dendrite,0,1,22,100000029,510000000620,
115.848,°,Dendrite,0,1,22,100000030,510000000628,
140.802,°,Dendrite,0,1,22,100000031,510000000634,
