
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
3.83364,um,Dendrite,0,1,5,100000000,510000000001,
4.40874,um,Dendrite,0,1,6,100000001,510000000035,
6.35051,um,Dendrite,0,1,7,100000002,510000000040,
6.02919,um,Dendrite,0,1,8,100000003,510000000046,
7.79613,um,Dendrite,0,1,9,100000004,510000000091,
6.29844,um,Dendrite,0,1,10,100000005,510000000150,
6.67877,um,Dendrite,0,1,11,100000006,510000000211,
3.79487,um,Dendrite,0,1,12,100000007,510000000262,
4.90417,um,Dendrite,0,1,12,100000008,510000000265,
8.20557,um,Dendrite,0,1,13,100000009,510000000298,
7.8226,um,Dendrite,0,1,13,100000010,510000000308,
6.42321,um,Dendrite,0,1,14,100000011,510000000315,
4.93145,um,Dendrite,0,1,14,100000012,510000000325,
2.44837,um,Dendrite,0,1,14,100000013,510000000330,
7.62473,um,Dendrite,0,1,15,100000014,510000000339,
12.3566,um,Dendrite,0,1,16,100000015,510000000347,
5.32279,um,Dendrite,0,1,16,100000016,510000000412,
8.28047,um,Dendrite,0,1,16,100000017,510000000430,
4.44956,um,Dendrite,0,1,16,100000018,510000000439,
6.51765,um,Dendrite,0,1,17,100000019,510000000474,
5.36678,um,Dendrite,0,1,18,100000020,510000000482,
5.56436,um,Dendrite,0,1,18,100000021,510000000495,
6.09647,um,Dendrite,0,1,19,100000022,510000000525,
2.07213,um,Dendrite,0,1,19,100000023,510000000557,
6.69681,um,Dendrite,0,1,20,100000024,510000000570,
4.01381,um,Dendrite,0,1,20,100000025,510000000578,
6.50424,um,Dendrite,0,1,21,100000026,510000000588,
6.64749,um,Dendrite,0,1,21,100000027,510000000595,
3.44376,um,Dendrite,0,1,22,100000028,510000000603,
3.57504,um,Dendrite,0,1,22,100000029,510000000620,
5.9551,um,Dendrite,0,1,22,100000030,510000000628,
8.85543,um,Dendrite,0,1,22,100000031,510000000634,
9.64107,um,Dendrite,0,1,23,100000032,510000000678,
6.30262,um,Dendrite,0,1,23,100000033,510000000727,
4.84978,um,Dendrite,0,1,23,100000034,510000000733,
11.9091,um,Dendrite,0,1,24,100000035,510000000755,
3.81032,um,Dendrite,0,1,24,100000036,510000000819,
4.29959,um,Dendrite,0,1,24,100000037,510000000825,
11.0083,um,Dendrite,0,1,25,100000038,510000000854,
3.97675,um,Dendrite,0,1,25,100000039,510000000915,
4.95203,um,Dendrite,0,1,25,100000040,510000000932,
4.24305,um,Dendrite,0,1,25,100000041,510000000936,
11.3544,um,Dendrite,0,1,26,100000042,510000000964,
5.11967,um,Dendrite,0,1,26,100000043,510000001028,
3.03959,um,Dendrite,0,1,26,100000044,510000001052,
5.57702,um,Dendrite,0,1,26,100000045,510000001055,
13.5492,um,Dendrite,0,1,27,100000046,510000001086,
3.75188,um,Dendrite,0,1,27,100000047,510000001162,
4.66795,um,Dendrite,0,1,27,100000049,510000001186,
4.04521,um,Dendrite,0,1,27,100000050,510000001213,
13.0033,um,Dendrite,0,1,28,100000051,510000001230,
7.75712,um,Dendrite,0,1,28,100000052,510000001297,
2.96109,um,Dendrite,0,1,28,100000053,510000001343,
4.16263,um,Dendrite,0,1,28,100000054,510000001358,
2.05591,um,Dendrite,0,1,28,100000055,510000001362,
3.74773,um,Dendrite,0,1,28,100000056,510000001378,
12.5303,um,Dendrite,0,1,29,100000057,510000001392,
3.66194,um,Dendrite,0,1,29,100000058,510000001457,
2.29201,um,Dendrite,0,1,29,100000059,510000001474,
4.32208,um,Dendrite,0,1,29,100000060,510000001487,
3.23691,um,Dendrite,0,1,29,100000061,510000001491,
6.48536,um,Dendrite,0,1,29,100000062,510000001509,
14.1502,um,Dendrite,0,1,30,100000063,510000001534,
3.86122,um,Dendrite,0,1,30,100000064,510000001598,
4.46796,um,Dendrite,0,1,30,100000065,510000001619,
6.48434,um,Dendrite,0,1,30,100000066,510000001638,
11.5425,um,Dendrite,0,1,31,100000067,510000001666,
4.00615,um,Dendrite,0,1,31,100000068,510000001728,
2.55234,um,Dendrite,0,1,31,100000069,510000001752,
5.81822,um,Dendrite,0,1,31,100000070,510000001768,
10.6028,um,Dendrite,0,1,32,100000071,510000001789,
3.03015,um,Dendrite,0,1,32,100000072,510000001844,
3.14433,um,Dendrite,0,1,32,100000073,510000001863,
5.04375,um,Dendrite,0,1,32,100000074,510000001880,
