
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20.7618,13.024,4.55809,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
20.4233,6.07681,3.70187,um,Dendrite,Dendrite Position,0,1,1,100000001,510000000016,
30.6402,26.441,5.94401,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000028,
31.0618,27.997,6.24605,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000039,
25.9125,25.7,6.26595,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000053,
23.9948,26.4585,5.85711,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000058,
