
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
52.4827,6.31888,2.11236,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
65.9918,15.8832,0.422304,um,Dendrite,Dendrite Position,0,1,1,100000001,510000000013,
22.4015,17.7624,10.4209,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000043,
18.8257,4.54705,8.36772,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000068,
3.62554,10.2302,11.9335,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000097,
25.8855,10.6224,5.18146,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000108,
44.869,16.6525,2.42894,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000125,
9.80475,7.16614,9.34758,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000135,
