
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
2.60445,um,Dendrite,0,1,1,100000000,510000000001,
6.49231,um,Dendrite,0,1,1,100000001,510000000013,
5.29017,um,Dendrite,0,1,1,100000002,510000000043,
6.43617,um,Dendrite,0,1,1,100000003,510000000068,
2.47148,um,Dendrite,0,1,1,100000004,510000000097,
3.9502,um,Dendrite,0,1,1,100000005,510000000108,
2.19348,um,Dendrite,0,1,1,100000006,510000000125,
8.02148,um,Dendrite,0,1,1,100000007,510000000135,
