
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.990084,,Dendrite,0,1,1,100000000,510000000001,
0.942096,,Dendrite,0,1,1,100000001,510000000013,
0.98514,,Dendrite,0,1,1,100000002,510000000043,
0.95001,,Dendrite,0,1,1,100000003,510000000068,
0.927836,,Dendrite,0,1,1,100000004,510000000097,
0.903252,,Dendrite,0,1,1,100000005,510000000108,
0.992642,,Dendrite,0,1,1,100000006,510000000125,
0.966633,,Dendrite,0,1,1,100000007,510000000135,
