
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
8.66081,°,Dendrite,0,1,1,100000000,510000000001,
47.9523,°,Dendrite,0,1,1,100000001,510000000021,
23.1856,°,Dendrite,0,1,1,100000002,510000000039,
118.693,°,Dendrite,1,1,1,100000003,510000000051,
79.6394,°,Dendrite,1,1,1,100000003,510000000075,
-119.53,°,Dendrite,1,1,1,100000003,510000000087,
-82.2817,°,Dendrite,0,1,1,100000004,510000000097,
-30.9687,°,Dendrite,0,1,1,100000005,510000000173,
-166.625,°,Dendrite,0,1,1,100000006,510000000187,
26.1427,°,Dendrite,0,1,1,100000007,510000000233,
-179.016,°,Dendrite,0,1,1,100000008,510000000241,
-158.523,°,Dendrite,0,1,1,100000009,510000000256,
-178.118,°,Dendrite,0,1,1,100000010,510000000281,
171.342,°,Dendrite,0,1,1,100000011,510000000297,
-101.076,°,Dendrite,0,1,1,100000012,510000000326,
-47.453,°,Dendrite,0,1,1,100000013,510000000354,
92.1606,°,Dendrite,0,1,1,100000014,510000000382,
84.9045,°,Dendrite,0,1,1,100000015,510000000453,
23.7159,°,Dendrite,0,1,1,100000016,510000000483,
-73.3658,°,Dendrite,0,1,1,100000017,510000000510,
-116.094,°,Dendrite,0,1,1,100000017,510000000573,
161.536,°,Dendrite,0,1,1,100000018,510000000644,
-139.143,°,Dendrite,0,1,1,100000019,510000000672,
-2.54564,°,Dendrite,0,1,1,100000020,510000000694,
-107.503,°,Dendrite,0,1,1,100000021,510000000717,
-58.2577,°,Dendrite,0,1,1,100000022,510000000730,
-33.1277,°,Dendrite,0,1,1,100000023,510000000737,
166.45,°,Dendrite,0,1,1,100000024,510000000751,
-93.7961,°,Dendrite,0,1,1,100000025,510000000764,
52.3413,°,Dendrite,0,1,1,100000026,510000000808,
-146.991,°,Dendrite,0,1,1,100000027,510000000816,
-119.371,°,Dendrite,0,1,1,100000028,510000000836,
138.282,°,Dendrite,0,1,1,100000029,510000000874,
-72.1608,°,Dendrite,0,1,1,100000030,510000000899,
-155.519,°,Dendrite,0,1,1,100000031,510000000934,
-177.053,°,Dendrite,0,1,1,100000032,510000000958,
160.305,°,Dendrite,0,1,1,100000033,510000000971,
65.8021,°,Dendrite,0,1,1,100000034,510000000980,
-73.7055,°,Dendrite,0,1,1,100000035,510000000988,
-74.1691,°,Dendrite,0,1,1,100000036,510000001053,
100.218,°,Dendrite,0,1,1,100000037,510000001108,
96.7393,°,Dendrite,0,1,1,100000038,510000001153,
-158.347,°,Dendrite,0,1,1,100000039,510000001182,
-85.7991,°,Dendrite,0,1,1,100000040,510000001207,
48.8565,°,Dendrite,0,1,1,100000041,510000001219,
13.8872,°,Dendrite,0,1,1,100000042,510000001238,
