
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.970558,,Dendrite,0,1,1,100000000,510000000001,
0.894517,,Dendrite,0,1,1,100000001,510000000012,
0.985508,,Dendrite,0,1,1,100000002,510000000035,
0.978283,,Dendrite,0,1,1,100000003,510000000047,
0.989684,,Dendrite,0,1,1,100000004,510000000056,
0.947996,,Dendrite,0,1,1,100000005,510000000063,
0.927521,,Dendrite,0,1,1,100000006,510000000073,
0.9903,,Dendrite,0,1,1,100000007,510000000133,
0.863016,,Dendrite,0,1,1,100000008,510000000145,
0.975488,,Dendrite,0,1,1,100000009,510000000158,
0.943303,,Dendrite,0,1,1,100000010,510000000165,
0.902933,,Dendrite,0,1,1,100000011,510000000182,
0.908854,,Dendrite,0,1,1,100000012,510000000194,
0.9223,,Dendrite,0,1,1,100000013,510000000284,
0.968709,,Dendrite,0,1,1,100000014,510000000328,
0.984783,,Dendrite,0,1,1,100000015,510000000340,
0.995651,,Dendrite,0,1,1,100000016,510000000352,
0.993304,,Dendrite,0,1,1,100000017,510000000357,
0.93546,,Dendrite,0,1,1,100000018,510000000364,
0.875812,,Dendrite,0,1,1,100000019,510000000386,
0.818032,,Dendrite,0,1,1,100000020,510000000403,
0.747108,,Dendrite,0,1,1,100000021,510000000429,
0.930065,,Dendrite,0,1,1,100000022,510000000440,
0.971093,,Dendrite,0,1,1,100000023,510000000450,
0.991691,,Dendrite,0,1,1,100000024,510000000458,
0.935951,,Dendrite,0,1,1,100000025,510000000462,
0.998975,,Dendrite,0,1,1,100000026,510000000473,
0.935313,,Dendrite,0,1,1,100000027,510000000476,
0.922176,,Dendrite,0,1,1,100000028,510000000487,
0.966959,,Dendrite,0,1,1,100000029,510000000509,
0.963246,,Dendrite,0,1,1,100000030,510000000530,
0.984955,,Dendrite,0,1,1,100000031,510000000538,
0.913705,,Dendrite,0,1,1,100000032,510000000544,
0.924161,,Dendrite,0,1,1,100000033,510000000575,
0.990082,,Dendrite,0,1,1,100000034,510000000591,
0.998424,,Dendrite,0,1,1,100000035,510000000599,
0.901121,,Dendrite,0,1,1,100000036,510000000603,
0.974448,,Dendrite,0,1,1,100000037,510000000611,
0.982326,,Dendrite,0,1,1,100000037,510000000618,
0.999927,,Dendrite,1,1,1,100000037,510000000624,
0.957822,,Dendrite,1,2,1,100000037,510000000626,
0.999762,,Dendrite,0,1,1,100000038,510000000632,
0.995841,,Dendrite,0,1,1,100000039,510000000636,
0.999738,,Dendrite,0,1,1,100000040,510000000641,
0.971542,,Dendrite,0,1,1,100000041,510000000646,
0.968475,,Dendrite,0,1,1,100000042,510000000663,
0.975681,,Dendrite,0,1,1,100000043,510000000676,
0.756706,,Dendrite,0,1,1,100000044,510000000683,
0.876327,,Dendrite,0,1,1,100000045,510000000706,
0.964045,,Dendrite,0,1,1,100000046,510000000720,
0.909766,,Dendrite,0,1,1,100000046,510000000729,
0.958818,,Dendrite,0,1,1,100000047,510000000739,
0.992247,,Dendrite,0,1,1,100000048,510000000749,
0.930658,,Dendrite,0,1,1,100000049,510000000757,
0.927712,,Dendrite,0,1,1,100000050,510000000782,
0.986604,,Dendrite,0,1,1,100000051,510000000798,
0.977445,,Dendrite,0,1,1,100000052,510000000807,
0.867611,,Dendrite,0,1,1,100000053,510000000814,
0.854359,,Dendrite,0,1,1,100000054,510000000828,
0.769468,,Dendrite,0,1,1,100000055,510000000884,
0.974847,,Dendrite,0,1,1,100000056,510000000918,
0.975051,,Dendrite,0,1,1,100000057,510000000926,
0.970707,,Dendrite,0,1,1,100000058,510000000932,
0.947098,,Dendrite,0,1,1,100000059,510000000945,
0.975572,,Dendrite,0,1,1,100000060,510000000961,
0.976521,,Dendrite,0,1,1,100000062,510000000974,
0.979765,,Dendrite,0,1,1,100000063,510000001004,
0.923674,,Dendrite,0,1,1,100000064,510000001037,
0.945064,,Dendrite,0,1,1,100000065,510000001053,
